module_code,module_title,programme_code,module_year,semester,assessment_type,difficulty_level,social_requirements,creativity_requirements,practical_theoretical_balance,stress_level,group_work_intensity,independent_study_requirement,description
2.1.16.05,Listening Across Conflict and Power Imbalances,2.1.16,2,2,mixed,0.58,0.85,0.64,0.63,0.46,0.64,0.53,"Intermediate module in Education, Eldership, and Mentoring: Listening Across Conflict and Power Imbalances."
3.1.28.03,Seasonal Cycles and Place-Based Know-How,3.1.28,2,1,essay,0.48,0.59,0.72,0.21,0.46,0.46,0.66,Intermediate module in Ecologies of Knowledge: Seasonal Cycles and Place-Based Know-How.
3.1.28.04,"Oral Tradition, Performance, and Craft Transmission",3.1.28,2,1,essay,0.63,0.57,0.79,0.16,0.52,0.44,0.66,"Intermediate module in Ecologies of Knowledge: Oral Tradition, Performance, and Craft Transmission."
3.1.28.05,Fieldwork: Learning with Local Knowledge Holders,3.1.28,2,2,mixed,0.62,0.56,0.73,0.22,0.49,0.47,0.66,Intermediate module in Ecologies of Knowledge: Fieldwork: Learning with Local Knowledge Holders.
3.3.31.03,"Designing for Complexity: Models, Tools, and Tensions",3.3.31,2,1,essay,0.67,0.55,0.83,0.46,0.53,0.44,0.64,"Intermediate module in Transdisciplinary Design and Praxis: Designing for Complexity: Models, Tools, and Tensions."
3.3.31.04,Rapid Prototyping for Learning and Decision-Making,3.3.31,2,1,essay,0.54,0.58,0.88,0.47,0.54,0.45,0.59,Intermediate module in Transdisciplinary Design and Praxis: Rapid Prototyping for Learning and Decision-Making.
3.3.31.05,"Failure, Feedback, and Iteration in Knowledge Design",3.3.31,2,2,essay,0.62,0.52,0.8,0.54,0.47,0.52,0.64,"Intermediate module in Transdisciplinary Design and Praxis: Failure, Feedback, and Iteration in Knowledge Design."
1.3.7.04,Alloy Theory and Practical Metallurgy,1.3.7,2,1,practical,0.57,0.48,0.71,0.84,0.51,0.34,0.55,Intermediate module in Forge Arts and Metallurgy: Alloy Theory and Practical Metallurgy.
1.3.7.05,"Forging for Fit: Joints, Hinges, and Mechanisms",1.3.7,2,1,practical,0.57,0.53,0.67,0.91,0.48,0.39,0.56,"Intermediate module in Forge Arts and Metallurgy: Forging for Fit: Joints, Hinges, and Mechanisms."
1.3.7.06,Form and Function: Design Studio I,1.3.7,2,2,project,0.52,0.53,0.71,0.91,0.46,0.41,0.55,Intermediate module in Forge Arts and Metallurgy: Form and Function: Design Studio I.
2.1.17.03,Intergenerational Practice: Elderhood and Youth Wisdom,2.1.17,2,1,mixed,0.53,0.83,0.69,0.63,0.52,0.66,0.57,"Intermediate module in Education, Eldership, and Mentoring: Intergenerational Practice: Elderhood and Youth Wisdom."
2.1.17.04,"Continuity in Fragile Systems: Ritual, Routine, Rehearsal",2.1.17,2,1,mixed,0.51,0.8,0.72,0.57,0.5,0.62,0.56,"Intermediate module in Education, Eldership, and Mentoring: Continuity in Fragile Systems: Ritual, Routine, Rehearsal."
2.1.17.05,Cultivating Presence Through Slow Making,2.1.17,2,2,mixed,0.47,0.83,0.74,0.61,0.52,0.6,0.59,"Intermediate module in Education, Eldership, and Mentoring: Cultivating Presence Through Slow Making."
4.2.36.03,"Rituals of Grief, Joy, and Transition",4.2.36,2,1,essay,0.51,0.72,0.72,0.45,0.49,0.52,0.55,"Intermediate module in Oral Histories and Memorycraft: Rituals of Grief, Joy, and Transition."
4.2.36.04,Objects as Anchors: Material Memorywork,4.2.36,2,1,essay,0.52,0.7,0.65,0.41,0.54,0.55,0.54,Intermediate module in Oral Histories and Memorycraft: Objects as Anchors: Material Memorywork.
4.2.36.05,Intergenerational Storyholding,4.2.36,2,2,essay,0.56,0.73,0.65,0.49,0.46,0.55,0.56,Intermediate module in Oral Histories and Memorycraft: Intergenerational Storyholding.
1.3.8.03,"Advanced Techniques: Folded Steel, Damascus, Etching",1.3.8,2,1,practical,0.59,0.47,0.69,0.84,0.54,0.42,0.57,"Intermediate module in Forge Arts and Metallurgy: Advanced Techniques: Folded Steel, Damascus, Etching."
1.3.8.04,The Forge as Ritual Space,1.3.8,2,1,practical,0.51,0.5,0.65,0.89,0.54,0.35,0.58,Intermediate module in Forge Arts and Metallurgy: The Forge as Ritual Space.
1.3.8.05,Apprenticeship Studio: Teaching Through Craft,1.3.8,2,2,project,0.52,0.46,0.72,0.9,0.51,0.4,0.56,Intermediate module in Forge Arts and Metallurgy: Apprenticeship Studio: Teaching Through Craft.
3.3.32.03,"Movement, Memory, and Meaning-Making",3.3.32,2,1,essay,0.49,0.59,0.88,0.46,0.54,0.51,0.57,"Intermediate module in Transdisciplinary Design and Praxis: Movement, Memory, and Meaning-Making."
3.3.32.04,Autoethnography and Sensory Documentation,3.3.32,2,1,essay,0.61,0.58,0.81,0.46,0.48,0.47,0.56,Intermediate module in Transdisciplinary Design and Praxis: Autoethnography and Sensory Documentation.
3.3.32.05,Ethics of Vulnerability and Exposure in Research,3.3.32,2,2,essay,0.52,0.54,0.75,0.47,0.53,0.48,0.58,Intermediate module in Transdisciplinary Design and Praxis: Ethics of Vulnerability and Exposure in Research.
3.2.29.03,Designing for Dialogue Across Generations,3.2.29,2,1,essay,0.57,0.65,0.76,0.35,0.46,0.45,0.56,Intermediate module in Learning Futures: Designing for Dialogue Across Generations.
3.2.29.04,"Memory, Story, and Shared Futures",3.2.29,2,1,essay,0.63,0.63,0.72,0.29,0.51,0.56,0.56,"Intermediate module in Learning Futures: Memory, Story, and Shared Futures."
3.2.29.05,"Intergenerational Learning in Family, Community, and Institutional Settings",3.2.29,2,2,essay,0.55,0.67,0.76,0.35,0.46,0.54,0.58,"Intermediate module in Learning Futures: Intergenerational Learning in Family, Community, and Institutional Settings."
4.4.44.03,Scripts and Charters: The Architecture of Belief,4.4.44,2,1,essay,0.58,0.63,0.69,0.27,0.53,0.53,0.52,Intermediate module in Political Myth and Governance: Scripts and Charters: The Architecture of Belief.
4.4.44.04,Storytelling in Public Policy and Civic Ritual,4.4.44,2,1,essay,0.61,0.69,0.73,0.27,0.54,0.52,0.59,Intermediate module in Political Myth and Governance: Storytelling in Public Policy and Civic Ritual.
4.4.44.05,"Institutional Archetypes: The Tower, the Grove, the Gate",4.4.44,2,2,essay,0.64,0.69,0.76,0.29,0.53,0.53,0.54,"Intermediate module in Political Myth and Governance: Institutional Archetypes: The Tower, the Grove, the Gate."
1.3.9.03,"Techniques for Metal, Wood, and Mixed Materials",1.3.9,2,1,practical,0.53,0.53,0.68,0.88,0.51,0.35,0.55,"Intermediate module in Forge Arts and Metallurgy: Techniques for Metal, Wood, and Mixed Materials."
1.3.9.04,Fieldwork: Documenting and Mapping Lost Techniques,1.3.9,2,1,practical,0.62,0.46,0.7,0.85,0.5,0.4,0.55,Intermediate module in Forge Arts and Metallurgy: Fieldwork: Documenting and Mapping Lost Techniques.
1.3.9.05,Cultural Entanglements in Artefact Recovery,1.3.9,2,2,practical,0.6,0.53,0.65,0.84,0.5,0.36,0.57,Intermediate module in Forge Arts and Metallurgy: Cultural Entanglements in Artefact Recovery.
4.3.39.03,"Governing With Grace: Silence, Consensus, and Song",4.3.39,2,1,essay,0.67,0.63,0.73,0.12,0.52,0.52,0.66,"Intermediate module in Philosophy and Ethics: Governing With Grace: Silence, Consensus, and Song."
4.3.39.04,Dissonance and the Disobedient Leaf: When Laws Falter,4.3.39,2,1,essay,0.55,0.67,0.72,0.14,0.5,0.5,0.64,Intermediate module in Philosophy and Ethics: Dissonance and the Disobedient Leaf: When Laws Falter.
4.3.39.05,"Comparative Ethics: Dwarven, Human, Elven Codes in Tension",4.3.39,2,2,essay,0.76,0.62,0.76,0.17,0.46,0.48,0.66,"Intermediate module in Philosophy and Ethics: Comparative Ethics: Dwarven, Human, Elven Codes in Tension."
4.3.41.03,"Ethical Weaving: Truth, Ambiguity, and the Patterned Life",4.3.41,2,1,essay,0.54,0.64,0.73,0.15,0.51,0.48,0.66,"Intermediate module in Philosophy and Ethics: Ethical Weaving: Truth, Ambiguity, and the Patterned Life."
4.3.41.04,"Moral Craft in Practice: Decision, Care, and Consequence",4.3.41,2,1,essay,0.5,0.63,0.76,0.12,0.48,0.55,0.62,"Intermediate module in Philosophy and Ethics: Moral Craft in Practice: Decision, Care, and Consequence."
4.3.41.05,"Silence, Stars, and Stillness: Ethical Insight from Nature",4.3.41,2,2,essay,0.59,0.61,0.71,0.17,0.54,0.49,0.61,"Intermediate module in Philosophy and Ethics: Silence, Stars, and Stillness: Ethical Insight from Nature."
2.4.25.03,Calendars and Cosmologies: Comparative Temporal Systems,2.4.25,2,1,essay,0.68,0.68,0.73,0.56,0.46,0.71,0.51,"Intermediate module in Rites, Rest, and Renewal: Calendars and Cosmologies: Comparative Temporal Systems."
2.4.25.04,Interrupting the Clock: Rituals of Rest and Reversal,2.4.25,2,1,mixed,0.51,0.7,0.72,0.52,0.54,0.64,0.52,"Intermediate module in Rites, Rest, and Renewal: Interrupting the Clock: Rituals of Rest and Reversal."
2.4.25.05,Designing Temporal Tools for Community Use,2.4.25,2,2,mixed,0.6,0.81,0.8,0.53,0.46,0.75,0.55,"Intermediate module in Rites, Rest, and Renewal: Designing Temporal Tools for Community Use."
4.4.43.03,"Symbol, Space, and Story in Conflict Mediation",4.4.43,2,1,essay,0.62,0.72,0.7,0.25,0.54,0.54,0.56,"Intermediate module in Political Myth and Governance: Symbol, Space, and Story in Conflict Mediation."
4.4.43.04,Ritual Technologies for Cultural Transformation,4.4.43,2,1,essay,0.46,0.67,0.72,0.31,0.48,0.54,0.59,Intermediate module in Political Myth and Governance: Ritual Technologies for Cultural Transformation.
4.4.43.05,Restorying the Broken: Case Studies in Aesthetic Intervention,4.4.43,2,2,essay,0.54,0.67,0.77,0.31,0.5,0.51,0.59,Intermediate module in Political Myth and Governance: Restorying the Broken: Case Studies in Aesthetic Intervention.
1.2.5.03,Lab Methods for Mycology and Biofabrication,1.2.5,2,1,practical,0.61,0.59,0.64,0.83,0.53,0.52,0.59,Intermediate module in Food and Sustenance Technologies: Lab Methods for Mycology and Biofabrication.
1.2.5.04,Fungi in Soil Health and Ecosystem Repair,1.2.5,2,1,practical,0.49,0.61,0.61,0.81,0.46,0.52,0.58,Intermediate module in Food and Sustenance Technologies: Fungi in Soil Health and Ecosystem Repair.
1.2.5.05,"Mycelium as Material: Packaging, Building, Healing",1.2.5,2,2,practical,0.62,0.6,0.62,0.8,0.49,0.56,0.57,"Intermediate module in Food and Sustenance Technologies: Mycelium as Material: Packaging, Building, Healing."
3.2.30.03,Slow Pedagogies and the Politics of Urgency,3.2.30,2,1,essay,0.58,0.59,0.69,0.31,0.48,0.47,0.57,Intermediate module in Learning Futures: Slow Pedagogies and the Politics of Urgency.
3.2.30.04,Teaching for Futures Not Yet Known,3.2.30,2,1,essay,0.55,0.6,0.75,0.32,0.49,0.44,0.56,Intermediate module in Learning Futures: Teaching for Futures Not Yet Known.
3.2.30.05,"Climate, Collapse, and the Emotional Life of Learners",3.2.30,2,2,essay,0.46,0.55,0.71,0.33,0.51,0.48,0.62,"Intermediate module in Learning Futures: Climate, Collapse, and the Emotional Life of Learners."
1.5.12.04,Infrastructure as Interface: Ancient and Modern,1.5.12,2,1,practical,0.48,0.46,0.68,0.7,0.49,0.52,0.53,Intermediate module in Stonework and Structural Alchemy: Infrastructure as Interface: Ancient and Modern.
1.5.12.05,"Binding, Warding, and Flow in Public Works",1.5.12,2,1,practical,0.63,0.53,0.65,0.7,0.54,0.48,0.59,"Intermediate module in Stonework and Structural Alchemy: Binding, Warding, and Flow in Public Works."
1.5.12.06,Translation and Recovery of Forgotten Runes,1.5.12,2,2,practical,0.53,0.5,0.65,0.73,0.53,0.45,0.57,Intermediate module in Stonework and Structural Alchemy: Translation and Recovery of Forgotten Runes.
4.2.37.03,"Fieldwork: Interviewing, Mapping, Interpreting",4.2.37,2,1,mixed,0.51,0.82,0.65,0.42,0.54,0.48,0.54,"Intermediate module in Oral Histories and Memorycraft: Fieldwork: Interviewing, Mapping, Interpreting."
4.2.37.04,Digital and Physical Story Archives,4.2.37,2,1,essay,0.53,0.74,0.66,0.42,0.52,0.55,0.59,Intermediate module in Oral Histories and Memorycraft: Digital and Physical Story Archives.
4.2.37.05,Community Consent and Cultural Stewardship,4.2.37,2,2,essay,0.51,0.78,0.66,0.43,0.47,0.56,0.59,Intermediate module in Oral Histories and Memorycraft: Community Consent and Cultural Stewardship.
1.1.2.03,Legal Frameworks for Commons and Cooperatives,1.1.2,2,1,practical,0.48,0.8,0.66,0.78,0.53,0.76,0.51,Intermediate module in Community Labour & Cooperative Innovation: Legal Frameworks for Commons and Cooperatives.
1.1.2.04,Facilitation and Decision-Making in Flat Structures,1.1.2,2,1,practical,0.6,0.7,0.67,0.74,0.52,0.69,0.55,Intermediate module in Community Labour & Cooperative Innovation: Facilitation and Decision-Making in Flat Structures.
1.1.2.05,Intergenerational Knowledge and Care Systems,1.1.2,2,2,practical,0.6,0.65,0.58,0.75,0.46,0.67,0.54,Intermediate module in Community Labour & Cooperative Innovation: Intergenerational Knowledge and Care Systems.
2.1.15.03,Building Trust Across Difference,2.1.15,2,1,mixed,0.49,0.83,0.64,0.59,0.49,0.62,0.53,"Intermediate module in Education, Eldership, and Mentoring: Building Trust Across Difference."
2.1.15.04,"Scaffolding Growth: Encouragement, Challenge, Timing",2.1.15,2,1,mixed,0.49,0.8,0.71,0.6,0.53,0.59,0.53,"Intermediate module in Education, Eldership, and Mentoring: Scaffolding Growth: Encouragement, Challenge, Timing."
2.1.15.05,"Mentorship in Context I: Personal, Cultural, Political",2.1.15,2,2,mixed,0.53,0.76,0.66,0.57,0.48,0.54,0.64,"Intermediate module in Education, Eldership, and Mentoring: Mentorship in Context I: Personal, Cultural, Political."
4.3.40.03,"Resistance as Ritual: Stories, Stones, and Sabotage",4.3.40,2,1,essay,0.49,0.63,0.71,0.12,0.52,0.52,0.61,"Intermediate module in Philosophy and Ethics: Resistance as Ritual: Stories, Stones, and Sabotage."
4.3.40.04,Quiet Revolutions: Subtle Acts of Elven Defiance,4.3.40,2,1,essay,0.61,0.61,0.71,0.13,0.47,0.51,0.63,Intermediate module in Philosophy and Ethics: Quiet Revolutions: Subtle Acts of Elven Defiance.
4.3.40.05,"Power and the Gaze: Who Watches, Who Speaks, Who Remembers",4.3.40,2,2,essay,0.63,0.69,0.7,0.17,0.54,0.56,0.61,"Intermediate module in Philosophy and Ethics: Power and the Gaze: Who Watches, Who Speaks, Who Remembers."
4.2.38.03,"Fieldwork in Folk Practice: Song, Craft, Ceremony",4.2.38,2,1,mixed,0.46,0.69,0.78,0.48,0.5,0.52,0.57,"Intermediate module in Oral Histories and Memorycraft: Fieldwork in Folk Practice: Song, Craft, Ceremony."
4.2.38.04,Archive as Living Entity: Curation and Custodianship,4.2.38,2,1,essay,0.62,0.75,0.64,0.43,0.5,0.48,0.58,Intermediate module in Oral Histories and Memorycraft: Archive as Living Entity: Curation and Custodianship.
4.2.38.05,Adaptation and Drift in Oral Tradition,4.2.38,2,2,essay,0.49,0.73,0.67,0.42,0.51,0.56,0.56,Intermediate module in Oral Histories and Memorycraft: Adaptation and Drift in Oral Tradition.
4.4.42.03,Rhizomatic Authority: When Roots Speak Without Kings,4.4.42,2,1,essay,0.52,0.67,0.69,0.24,0.52,0.49,0.51,Intermediate module in Political Myth and Governance: Rhizomatic Authority: When Roots Speak Without Kings.
4.4.42.04,Systems of Slowness: Deep Time Decision-Making,4.4.42,2,1,essay,0.54,0.64,0.81,0.25,0.52,0.53,0.56,Intermediate module in Political Myth and Governance: Systems of Slowness: Deep Time Decision-Making.
4.4.42.05,"Friction, Ritual, and the Role of Pause",4.4.42,2,2,essay,0.62,0.64,0.76,0.29,0.54,0.5,0.58,"Intermediate module in Political Myth and Governance: Friction, Ritual, and the Role of Pause."
1.4.10.04,Complex Systems and Emergent Behaviour,1.4.10,2,1,practical,0.69,0.46,0.58,0.71,0.5,0.49,0.57,Intermediate module in Mechanics and Engineering: Complex Systems and Emergent Behaviour.
1.4.10.05,"Modelling Tools: Diagrams, Simulations, and Sand Tables",1.4.10,2,1,practical,0.6,0.5,0.59,0.74,0.49,0.51,0.54,"Intermediate module in Mechanics and Engineering: Modelling Tools: Diagrams, Simulations, and Sand Tables."
1.4.10.06,Ethics in Infrastructure and Innovation,1.4.10,2,2,practical,0.5,0.46,0.61,0.74,0.53,0.52,0.57,Intermediate module in Mechanics and Engineering: Ethics in Infrastructure and Innovation.
1.1.1.04,Distributed Production Models,1.1.1,2,1,practical,0.64,0.65,0.65,0.81,0.52,0.71,0.51,Intermediate module in Community Labour & Cooperative Innovation: Distributed Production Models.
1.1.1.05,Platform Cooperativism and Digital Infrastructure,1.1.1,2,1,practical,0.47,0.68,0.61,0.75,0.49,0.71,0.58,Intermediate module in Community Labour & Cooperative Innovation: Platform Cooperativism and Digital Infrastructure.
1.1.1.06,"Supply Chains, Commons, and Ethics",1.1.1,2,2,practical,0.47,0.71,0.58,0.75,0.46,0.7,0.56,"Intermediate module in Community Labour & Cooperative Innovation: Supply Chains, Commons, and Ethics."
3.1.27.03,Marginalised Knowledges: Case Studies and Counter-Stories,3.1.27,2,1,essay,0.59,0.56,0.75,0.16,0.53,0.48,0.71,Intermediate module in Ecologies of Knowledge: Marginalised Knowledges: Case Studies and Counter-Stories.
3.1.27.04,Pedagogies of Refusal and Disobedience,3.1.27,2,1,essay,0.58,0.56,0.69,0.22,0.46,0.45,0.67,Intermediate module in Ecologies of Knowledge: Pedagogies of Refusal and Disobedience.
3.1.27.05,Research as Repair: Methods for Epistemic Accountability,3.1.27,2,2,essay,0.48,0.53,0.75,0.16,0.47,0.52,0.71,Intermediate module in Ecologies of Knowledge: Research as Repair: Methods for Epistemic Accountability.
4.1.33.03,Translators as Bridgebuilders: Ethics and Dilemmas,4.1.33,2,1,essay,0.57,0.64,0.69,0.38,0.5,0.51,0.58,Intermediate module in Language and Symbol: Translators as Bridgebuilders: Ethics and Dilemmas.
4.1.33.04,Reconstructing Lost Grammar Systems,4.1.33,2,1,essay,0.7,0.64,0.75,0.37,0.51,0.53,0.58,Intermediate module in Language and Symbol: Reconstructing Lost Grammar Systems.
4.1.33.05,Magical Texts and Forbidden Phrases,4.1.33,2,2,essay,0.54,0.63,0.69,0.33,0.49,0.51,0.59,Intermediate module in Language and Symbol: Magical Texts and Forbidden Phrases.
1.5.14.03,"Tools of Maintenance: Hammer, Song, and Seal",1.5.14,2,1,practical,0.5,0.49,0.66,0.76,0.46,0.49,0.52,"Intermediate module in Stonework and Structural Alchemy: Tools of Maintenance: Hammer, Song, and Seal."
1.5.14.04,Ritual Practices in Preventative Architecture,1.5.14,2,1,practical,0.58,0.46,0.69,0.69,0.49,0.51,0.53,Intermediate module in Stonework and Structural Alchemy: Ritual Practices in Preventative Architecture.
1.5.14.05,Repairing with Respect: Cultural Protocols for Care,1.5.14,2,2,practical,0.6,0.48,0.7,0.72,0.51,0.49,0.58,Intermediate module in Stonework and Structural Alchemy: Repairing with Respect: Cultural Protocols for Care.
1.5.13.04,"Foundation Techniques: Earth, Time, and Load",1.5.13,2,1,practical,0.58,0.53,0.66,0.76,0.53,0.45,0.51,"Intermediate module in Stonework and Structural Alchemy: Foundation Techniques: Earth, Time, and Load."
1.5.13.05,Adaptive Architecture: Growing with Place,1.5.13,2,1,practical,0.64,0.48,0.68,0.76,0.5,0.46,0.58,Intermediate module in Stonework and Structural Alchemy: Adaptive Architecture: Growing with Place.
1.5.13.06,Working With Living Rock and Elemental Consent,1.5.13,2,2,practical,0.45,0.46,0.69,0.76,0.48,0.49,0.57,Intermediate module in Stonework and Structural Alchemy: Working With Living Rock and Elemental Consent.
2.2.18.03,"Herbal Preparations: Teas, Salves, and Tinctures",2.2.18,2,1,mixed,0.5,0.74,0.68,0.66,0.53,0.71,0.59,"Intermediate module in Healing and Embodied Knowledge: Herbal Preparations: Teas, Salves, and Tinctures."
2.2.18.04,Elemental Correspondences in Healing,2.2.18,2,1,mixed,0.61,0.75,0.71,0.69,0.47,0.71,0.56,Intermediate module in Healing and Embodied Knowledge: Elemental Correspondences in Healing.
2.2.18.05,Practicum: Healing in Community Contexts,2.2.18,2,2,practical,0.61,0.76,0.7,0.65,0.51,0.76,0.53,Intermediate module in Healing and Embodied Knowledge: Practicum: Healing in Community Contexts.
4.1.34.03,"Carved Knowledge: Stone, Wood, Bone, Metal",4.1.34,2,1,essay,0.58,0.57,0.75,0.35,0.46,0.55,0.52,"Intermediate module in Language and Symbol: Carved Knowledge: Stone, Wood, Bone, Metal."
4.1.34.04,"Comparative Semiotics: Elven, Dwarven, Human, Other",4.1.34,2,1,essay,0.73,0.59,0.75,0.34,0.53,0.52,0.56,"Intermediate module in Language and Symbol: Comparative Semiotics: Elven, Dwarven, Human, Other."
4.1.34.05,Inscription Lab: Designing Functional Symbol Systems,4.1.34,2,2,mixed,0.5,0.56,0.81,0.32,0.48,0.5,0.59,Intermediate module in Language and Symbol: Inscription Lab: Designing Functional Symbol Systems.
1.4.11.04,"Hydraulic Logic: Pressure, Pulse, and Purpose",1.4.11,2,1,practical,0.55,0.47,0.59,0.76,0.54,0.49,0.54,"Intermediate module in Mechanics and Engineering: Hydraulic Logic: Pressure, Pulse, and Purpose."
1.4.11.05,"Experimental Heuristics: Trial, Error, and Adaptation",1.4.11,2,1,practical,0.64,0.48,0.62,0.76,0.53,0.51,0.59,"Intermediate module in Mechanics and Engineering: Experimental Heuristics: Trial, Error, and Adaptation."
1.4.11.06,Acoustic Architecture and Vibrational Engineering,1.4.11,2,2,practical,0.62,0.47,0.64,0.71,0.48,0.48,0.53,Intermediate module in Mechanics and Engineering: Acoustic Architecture and Vibrational Engineering.
2.2.20.03,Recording and Mapping the Dream Body,2.2.20,2,1,mixed,0.46,0.73,0.66,0.66,0.5,0.69,0.53,Intermediate module in Healing and Embodied Knowledge: Recording and Mapping the Dream Body.
2.2.20.04,"Night as Pedagogue: Sleep, Memory, Imagination",2.2.20,2,1,mixed,0.62,0.73,0.72,0.63,0.54,0.67,0.53,"Intermediate module in Healing and Embodied Knowledge: Night as Pedagogue: Sleep, Memory, Imagination."
2.2.20.05,Guided Movement and Embodied Dream Reenactment,2.2.20,2,2,mixed,0.54,0.75,0.68,0.61,0.51,0.65,0.51,Intermediate module in Healing and Embodied Knowledge: Guided Movement and Embodied Dream Reenactment.
2.3.21.04,Sensory Architecture and Emotional Atmosphere,2.3.21,2,1,mixed,0.55,0.87,0.7,0.59,0.51,0.74,0.57,Intermediate module in Hospitality and Conflict Holding: Sensory Architecture and Emotional Atmosphere.
2.3.21.05,Ritual and Symbol in Spatial Design,2.3.21,2,1,mixed,0.64,0.88,0.72,0.62,0.53,0.71,0.52,Intermediate module in Hospitality and Conflict Holding: Ritual and Symbol in Spatial Design.
2.3.21.06,Co-Designing With Community Needs,2.3.21,2,2,mixed,0.52,0.92,0.72,0.62,0.5,0.82,0.55,Intermediate module in Hospitality and Conflict Holding: Co-Designing With Community Needs.
2.4.26.03,"Reconstructing Ceremony: Inference, Integrity, Imagination",2.4.26,2,1,mixed,0.7,0.75,0.71,0.52,0.5,0.65,0.56,"Intermediate module in Rites, Rest, and Renewal: Reconstructing Ceremony: Inference, Integrity, Imagination."
2.4.26.04,"Embodied Practice: Chants, Tools, Gestures",2.4.26,2,1,mixed,0.56,0.7,0.73,0.54,0.47,0.68,0.52,"Intermediate module in Rites, Rest, and Renewal: Embodied Practice: Chants, Tools, Gestures."
2.4.26.05,Ritual Language and Sacred Scripts,2.4.26,2,2,mixed,0.57,0.75,0.68,0.52,0.54,0.64,0.54,"Intermediate module in Rites, Rest, and Renewal: Ritual Language and Sacred Scripts."
4.1.35.06,Capstone: Design a Communicative Interface or Ritual Across Species,4.1.35,3,1,project,0.9,0.64,0.79,0.39,0.71,0.54,0.83,Final-year integrative project in Language and Symbol: Capstone: Design a Communicative Interface or Ritual Across Species.
4.1.35.07,"Decentralised Semantics: Forests, Swarms, Systems",4.1.35,3,1,essay,0.8,0.64,0.76,0.35,0.63,0.48,0.68,"Advanced module in Language and Symbol: Decentralised Semantics: Forests, Swarms, Systems."
4.1.35.08,Toward a Planetary Grammar: Futures of Communication,4.1.35,3,2,essay,0.87,0.6,0.74,0.39,0.66,0.55,0.7,Advanced module in Language and Symbol: Toward a Planetary Grammar: Futures of Communication.
1.2.4.07,Community-Supported Agriculture Models,1.2.4,3,1,practical,0.73,0.68,0.59,0.83,0.69,0.6,0.69,Advanced module in Food and Sustenance Technologies: Community-Supported Agriculture Models.
1.2.4.08,Capstone: Design a Regenerative Micro-Farm,1.2.4,3,1,project,0.76,0.57,0.68,0.83,0.78,0.5,0.8,Final-year integrative project in Food and Sustenance Technologies: Capstone: Design a Regenerative Micro-Farm.
1.2.4.09,"Policy, Power, and the Future of Food",1.2.4,3,2,practical,0.8,0.61,0.61,0.86,0.61,0.51,0.69,"Advanced module in Food and Sustenance Technologies: Policy, Power, and the Future of Food."
1.1.3.05,Teaching as Craft: Mentorship and Scaffolding,1.1.3,3,1,practical,0.6,0.64,0.67,0.81,0.68,0.69,0.7,Advanced module in Community Labour & Cooperative Innovation: Teaching as Craft: Mentorship and Scaffolding.
1.1.3.06,Capstone Project: Designing a Maker-Education Programme,1.1.3,3,1,project,0.81,0.64,0.65,0.74,0.73,0.69,0.85,Final-year integrative project in Community Labour & Cooperative Innovation: Capstone Project: Designing a Maker-Education Programme.
1.1.3.07,Ethics and Politics of Manual Learning,1.1.3,3,2,practical,0.76,0.71,0.66,0.8,0.66,0.7,0.7,Advanced module in Community Labour & Cooperative Innovation: Ethics and Politics of Manual Learning.
2.3.23.06,Capstone: Design and Host a Multi-Species Hospitality Event,2.3.23,3,1,project,0.87,0.92,0.75,0.58,0.74,0.78,0.82,Final-year integrative project in Hospitality and Conflict Holding: Capstone: Design and Host a Multi-Species Hospitality Event.
2.3.23.07,Anti-Extractive Hosting in Institutional Settings,2.3.23,3,1,mixed,0.61,0.81,0.71,0.62,0.64,0.7,0.67,Advanced module in Hospitality and Conflict Holding: Anti-Extractive Hosting in Institutional Settings.
2.3.23.08,"Maintenance, Mess, and Mutuality in Daily Life",2.3.23,3,2,mixed,0.71,0.92,0.68,0.63,0.61,0.77,0.7,"Advanced module in Hospitality and Conflict Holding: Maintenance, Mess, and Mutuality in Daily Life."
